Order_ID;Branch_Start;Branch_Drop;Pengirim;Penerima;Alamat Penerima;Weather_Condition;Vehicle_Type;Category;arrival_status;Start_Latitude;Start_Longitude;Quantity;Weight;Vehicle_Type_Assigned;picked;Batch_Number;Vehicle_Assigned
surm607398206;Dago;Cimahi;Olivia Ramos;Joseph Kelly;Kebon Kawung No.521, RT 5/RW 1;Sunny;pick up truck;Books;Terlambat;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
aoav528378494;Dago;Lubuklinggau;Jeffrey Frederick;Elizabeth Johns;Buah Batu No.50, RT 4/RW 6;Sunny;cargo truck;Cosmetics;Terlambat;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
iwkk675600046;Dago;Tanjung Pinang;Cody Pacheco;Angela Sanders MD;Buah Batu No.107, RT 9/RW 2;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
ygzm083162834;Dago;Jambi;Steven Lewis;Amy Myers;Setiabudi No.9, RT 8/RW 7;Sunny;cargo truck;Snacks;Tepat Waktu;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
naez324035183;Dago;Bekasi;Alicia Colon;Kevin Johnson;Lembong No.825, RT 5/RW 9;Sunny;van;Grocery;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
cvtv187193140;Dago;Cimahi;Michael Ortega;Daniel Hartman;Riau No.995, RT 6/RW 1;Sunny;pick up truck;Books;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
wdxo016971805;Dago;Makassar;Paula Murphy;Makayla Brown;Buah Batu No.555, RT 7/RW 6;Sunny;pick up truck;Shoes;Terlambat;-6.8750079;107.6159521;1.0;1.5;pick up truck;True;1;cargo truck
ainr279132427;Dago;Salatiga;Albert Jackson;Bryan Harrison;Setiabudi No.587, RT 7/RW 8;Sunny;pick up truck;Grocery;Terlambat;-6.8750079;107.6159521;5.0;1.5;pick up truck;True;1;cargo truck
vrtb689011419;Dago;Surabaya;Angela Wood;Teresa Ortiz;Buah Batu No.368, RT 8/RW 2;Sunny;van;Snacks;Lebih Cepat Sampai;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
zzll077342090;Dago;Yogyakarta;Rita Russo;Maria Rodgers;Cihampelas No.610, RT 1/RW 5;Sunny;pick up truck;Clothing;Terlambat;-6.8750079;107.6159521;1.0;1.6;pick up truck;True;1;cargo truck
zbej312623710;Dago;Banda Aceh;Keith Maldonado;Joseph Yates;Ciwidey No.494, RT 6/RW 5;Sunny;cargo truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.6;pick up truck;True;1;cargo truck
ukcu968891956;Dago;Tebing Tinggi;Alison Jones;Melissa Brooks;Dago No.979, RT 8/RW 3;Sunny;cargo truck;Cosmetics;Terlambat;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
bymu284015819;Dago;Mataram;Tim Taylor;Carrie Alvarez;Riau No.955, RT 1/RW 7;Sunny;cargo truck;Clothing;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.6;pick up truck;True;1;cargo truck
gywj295326057;Dago;Bali (Denpasar);David Baldwin Jr.;Jake Ryan;Pasir Kaliki No.737, RT 9/RW 9;Sunny;pick up truck;Books;Lebih Cepat Sampai;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
upop225314181;Dago;Depok;Derrick Young;Anna Rangel;Dago No.819, RT 2/RW 4;Sunny;cargo truck;Books;Tepat Waktu;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
gwxb377753595;Dago;Sorong;Lauren Scott;Dana Rivera;Riau No.569, RT 5/RW 8;Sunny;pick up truck;Snacks;Tepat Waktu;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
lylh914677414;Dago;Banjarbaru;Christopher Kelley;David Ryan;Pasir Kaliki No.379, RT 8/RW 6;Sunny;cargo truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.6;pick up truck;True;1;cargo truck
hhrx436596261;Dago;Serang;Lee Clay;Diane Nelson;Jalan Braga No.275, RT 4/RW 7;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
cqxp704491289;Dago;Solo;Christopher Miller;Don Nolan;Riau No.215, RT 5/RW 4;Sunny;pick up truck;Sports;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.6;pick up truck;True;1;cargo truck
xczw460656101;Dago;Cimahi;Jason Allen;Kathy Hill;Dago No.455, RT 7/RW 3;Sunny;pick up truck;Books;Tepat Waktu;-6.8750079;107.6159521;8.0;1.6;pick up truck;True;1;cargo truck
vmqx249086899;Dago;Samarinda;Christopher Abbott;Tiffany Williams;Pasir Kaliki No.174, RT 10/RW 5;Sunny;cargo truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.7;pick up truck;True;1;cargo truck
eoiq357794412;Dago;Pagar Alam;Richard Ryan;Zachary Sanchez;Buah Batu No.679, RT 6/RW 6;Sunny;pick up truck;Sports;Terlambat;-6.8750079;107.6159521;1.0;1.7;pick up truck;True;1;cargo truck
hyil828838066;Dago;Surabaya;Richard Fleming;Eric Herrera;Ciwidey No.800, RT 7/RW 7;Sunny;cargo truck;Clothing;Tepat Waktu;-6.8750079;107.6159521;1.0;1.8;pick up truck;True;2;van
rdgz343694098;Dago;Samarinda;Mary Hopkins;Alicia Hood;Riau No.371, RT 8/RW 3;Sunny;cargo truck;Grocery;Terlambat;-6.8750079;107.6159521;6.0;1.8;pick up truck;True;2;van
hwaf691125321;Dago;Prabumulih;Leonard Nolan;Lauren Shaw DDS;Cihampelas No.662, RT 10/RW 10;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;9.0;1.8;pick up truck;True;2;van
nesj140224546;Dago;Bekasi;Cole Roberts;Janet Wilkins;Cihampelas No.983, RT 9/RW 9;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;9.0;1.8;pick up truck;True;2;van
luaq247158372;Dago;Samarinda;Ana Hernandez;Benjamin Spencer;Ciwidey No.591, RT 1/RW 6;Sunny;pick up truck;Grocery;Terlambat;-6.8750079;107.6159521;6.0;1.8;pick up truck;True;2;van
sdxs740704107;Dago;Makassar;Joseph Cooper;Andrea Harvey;Lembong No.244, RT 3/RW 7;Sunny;cargo truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;6.0;1.8;pick up truck;True;2;van
fzmv435340531;Dago;Dumai;Michelle Stokes;James Crosby;Jalan Braga No.567, RT 2/RW 8;Sunny;cargo truck;Snacks;Terlambat;-6.8750079;107.6159521;6.0;1.8;pick up truck;True;2;van
ndxc898456929;Dago;Jakarta;Yesenia Mosley;Daniel Fischer;Jalan Braga No.47, RT 1/RW 4;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;9.0;1.8;pick up truck;True;2;van
tlmi792767795;Dago;Sungaipenuh;Joshua Edwards;Andrew Mckee;Dago No.798, RT 5/RW 7;Sunny;van;Shoes;Terlambat;-6.8750079;107.6159521;1.0;1.8;pick up truck;True;2;van
gfyk766181745;Dago;Palu;Christopher Robinson;Angela Davis;Buah Batu No.558, RT 1/RW 2;Sunny;pick up truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;6.0;1.8;pick up truck;True;2;van
hyje606274629;Dago;Depok;Michael Craig;Denise Miller;Ciwidey No.761, RT 10/RW 6;Sunny;pick up truck;Shoes;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;1.9;pick up truck;True;2;van
fiom659188032;Dago;Makassar;Donna Smith;Lisa Meyer;Ciwidey No.219, RT 1/RW 7;Sunny;pick up truck;Shoes;Tepat Waktu;-6.8750079;107.6159521;1.0;1.9;pick up truck;True;2;van
jxso332158085;Dago;Metro;John Smith;Michael Bell;Jalan Braga No.83, RT 5/RW 6;Sunny;van;Grocery;Tepat Waktu;-6.8750079;107.6159521;5.0;2.0;pick up truck;True;2;van
dhjq470768896;Dago;Pontianak;Nicholas Potter;Vicki Rivers;Ciwidey No.666, RT 9/RW 8;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.0;pick up truck;True;2;van
ijhj417094111;Dago;South Tangerang;Douglas Gonzalez;Brian Brown;Dago No.620, RT 3/RW 5;Sunny;pick up truck;Toys;Terlambat;-6.8750079;107.6159521;1.0;2.0;pick up truck;True;2;van
grvf180770586;Dago;Ternate;Margaret Nelson;David Phillips;Buah Batu No.24, RT 9/RW 3;Sunny;van;Cosmetics;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.0;pick up truck;True;2;van
dpve560736281;Dago;Surabaya;Anna Aguilar;Vanessa Smith;Dago No.437, RT 10/RW 1;Sunny;pick up truck;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;10.0;2.0;pick up truck;True;2;van
bdza528995862;Dago;Depok;Jesse Pugh;Brittany Bridges;Setiabudi No.373, RT 7/RW 1;Sunny;pick up truck;Books;Terlambat;-6.8750079;107.6159521;5.0;2.0;pick up truck;True;2;van
jdlj977605349;Dago;Bekasi;Timothy Silva;Patricia Greer;Jalan Braga No.214, RT 9/RW 1;Sunny;pick up truck;Books;Tepat Waktu;-6.8750079;107.6159521;10.0;2.0;pick up truck;True;2;van
nhyo946144928;Dago;Pagar Alam;Casey Martinez;Brian Robinson;Dago No.577, RT 9/RW 5;Sunny;pick up truck;Shoes;Lebih Cepat Sampai;-6.8750079;107.6159521;2.0;2.0;pick up truck;True;2;van
nsus954356817;Dago;Sumedang;Dr. Austin Dixon;Julie Rocha;Buah Batu No.629, RT 3/RW 10;Sunny;van;Toys;Terlambat;-6.8750079;107.6159521;1.0;2.0;pick up truck;True;2;van
lswi984607341;Dago;Banda Aceh;Joanna Pearson;Anita Lane;Kebon Kawung No.96, RT 10/RW 3;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;10.0;2.0;pick up truck;True;3;van
ftch343542800;Dago;Palu;Bradley Meadows;Lisa Jackson;Lembong No.703, RT 1/RW 5;Sunny;cargo truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;2.0;2.0;pick up truck;True;3;van
noip006590822;Dago;Bukittinggi;Melissa Torres;Robert Young;Pasir Kaliki No.678, RT 9/RW 3;Sunny;cargo truck;Books;Tepat Waktu;-6.8750079;107.6159521;5.0;2.0;pick up truck;True;3;van
qbci789242916;Dago;Tangerang Selatan;Nicole Hawkins;Linda Perry;Pasir Kaliki No.541, RT 7/RW 8;Sunny;cargo truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;10.0;2.0;pick up truck;True;3;van
jfla413350625;Dago;Padang;Rebecca Lawson;Elizabeth Jones;Setiabudi No.377, RT 9/RW 7;Sunny;cargo truck;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;10.0;2.0;pick up truck;True;3;van
fonk050911787;Dago;Metro;Jessica Morton;Justin Chapman;Ciwidey No.485, RT 5/RW 4;Sunny;pick up truck;Grocery;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.0;pick up truck;True;3;van
ytgx212962697;Dago;Cimahi;Michael Jensen;Lisa Jones;Riau No.800, RT 6/RW 5;Sunny;pick up truck;Cosmetics;Lebih Cepat Sampai;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
ssre510461928;Dago;Bengkulu;Lisa Galvan;Vincent Gay;Buah Batu No.672, RT 8/RW 6;Sunny;pick up truck;Books;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
wync083132545;Dago;Gresik;Edwin Simpson;Stephen Hunter;Buah Batu No.922, RT 9/RW 9;Sunny;cargo truck;Books;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
idhd085499030;Dago;Tanjung Pinang;Jeffrey Whitaker;Michelle Jennings;Jalan Braga No.23, RT 2/RW 3;Sunny;van;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
xpqa617770962;Dago;Mojokerto;Kenneth Reynolds;Tara Hernandez;Buah Batu No.479, RT 7/RW 10;Sunny;pick up truck;Sports;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;2.1;pick up truck;True;3;van
jsua499827095;Dago;Pematang Siantar;Jessica Johnson;Linda Hughes;Buah Batu No.655, RT 10/RW 1;Sunny;pick up truck;Snacks;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
rmlz088610537;Dago;Solo;Gabriel Kelley;Bruce Ramirez;Kebon Kawung No.428, RT 2/RW 5;Sunny;cargo truck;Sports;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;2.1;pick up truck;True;3;van
ssyx658491365;Dago;Banjarbaru;Randy Powell;Douglas Ward;Lembong No.850, RT 1/RW 1;Sunny;cargo truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
xbup331589366;Dago;Cilegon;Joseph Roberts;Mary Skinner;Ciwidey No.295, RT 4/RW 8;Sunny;pick up truck;Grocery;Lebih Cepat Sampai;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
qkgj342733398;Dago;South Tangerang;Robert Lopez;Morgan Brown;Riau No.872, RT 2/RW 5;Sunny;pick up truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
hotp148764022;Dago;Ternate;Stephanie Scott;Francisco Vincent;Buah Batu No.818, RT 8/RW 3;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
yfts351438936;Dago;Banda Aceh;Peter Li;Jason Cooper;Riau No.601, RT 9/RW 9;Sunny;cargo truck;Toys;Tepat Waktu;-6.8750079;107.6159521;1.0;2.1;pick up truck;True;3;van
gstt520828449;Dago;Kupang;Ashley Cooper;Jessica Carpenter;Kebon Kawung No.105, RT 9/RW 4;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;3;van
jzqd070155244;Dago;Pontianak;Rita Reynolds;Judy Webb;Dago No.669, RT 4/RW 2;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;4;cargo truck
lhsw241926150;Dago;Binjai;Christopher Gardner;Tracy Myers;Lembong No.448, RT 2/RW 9;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;4;cargo truck
asfc297548679;Dago;Sorong;Larry Myers;Kathleen Lewis;Riau No.454, RT 3/RW 5;Sunny;cargo truck;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;4;cargo truck
xjbu161013473;Dago;Kupang;Matthew Miller;Richard Watkins;Pasir Kaliki No.625, RT 10/RW 3;Sunny;cargo truck;Grocery;Terlambat;-6.8750079;107.6159521;7.0;2.1;pick up truck;True;4;cargo truck
hrar403153375;Dago;Palu;Philip Roberts;Kevin Sheppard;Dago No.377, RT 2/RW 3;Sunny;pick up truck;Shoes;Terlambat;-6.8750079;107.6159521;2.0;2.2;pick up truck;True;4;cargo truck
rppr316302788;Dago;Cimahi;Mark Ortega;Angela French;Pasir Kaliki No.904, RT 3/RW 4;Sunny;pick up truck;Shoes;Tepat Waktu;-6.8750079;107.6159521;2.0;2.2;pick up truck;True;4;cargo truck
ccty677683718;Dago;Metro;Joseph Bell;Daniel Orozco;Jalan Braga No.9, RT 3/RW 6;Sunny;pick up truck;Shoes;Tepat Waktu;-6.8750079;107.6159521;1.0;2.2;pick up truck;True;4;cargo truck
vdrl415151704;Dago;Manado;Amanda Thompson;Lisa Pierce;Pasir Kaliki No.780, RT 7/RW 3;Sunny;pick up truck;Sports;Lebih Cepat Sampai;-6.8750079;107.6159521;2.0;2.2;pick up truck;True;4;cargo truck
dkwf221193345;Dago;Bekasi;Julia Cohen;Jennifer Payne;Lembong No.223, RT 7/RW 2;Sunny;pick up truck;Sports;Terlambat;-6.8750079;107.6159521;1.0;2.3;pick up truck;True;4;cargo truck
sfff310102403;Dago;Depok;Joseph Rodriguez;James Hill;Ciwidey No.343, RT 2/RW 3;Sunny;pick up truck;Clothing;Terlambat;-6.8750079;107.6159521;1.0;2.3;pick up truck;True;4;cargo truck
dxhq518364254;Dago;Salatiga;Jill Hardy;Terri Warren;Pasir Kaliki No.944, RT 5/RW 9;Sunny;pick up truck;Books;Lebih Cepat Sampai;-6.8750079;107.6159521;8.0;2.4;pick up truck;True;4;cargo truck
jhwz767088267;Dago;Makassar;Daniel Carter;Joseph Hardy;Setiabudi No.439, RT 2/RW 8;Sunny;cargo truck;Books;Terlambat;-6.8750079;107.6159521;8.0;2.4;pick up truck;True;4;cargo truck
gfvb415196527;Dago;Dumai;Heather Miller;Matthew Diaz;Jalan Braga No.337, RT 10/RW 2;Sunny;cargo truck;Cosmetics;Tepat Waktu;-6.8750079;107.6159521;8.0;2.4;pick up truck;True;4;cargo truck
efcw220105992;Dago;Mojokerto;David Waters;Justin Bonilla;Riau No.848, RT 4/RW 5;Sunny;cargo truck;Books;Lebih Cepat Sampai;-6.8750079;107.6159521;6.0;2.4;pick up truck;True;4;cargo truck
eleu714010991;Dago;Metro;Joshua Jackson;Danny Thornton;Buah Batu No.524, RT 5/RW 7;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;8.0;2.4;pick up truck;True;4;cargo truck
bpmw576852863;Dago;Bekasi;Troy Barber;Jeremy Craig;Kebon Kawung No.204, RT 5/RW 3;Sunny;pick up truck;Toys;Lebih Cepat Sampai;-6.8750079;107.6159521;2.0;2.4;pick up truck;True;4;cargo truck
cxvr851892689;Dago;Bukittinggi;James Howell;Victoria Jefferson;Lembong No.372, RT 10/RW 3;Sunny;cargo truck;Sports;Terlambat;-6.8750079;107.6159521;1.0;2.4;pick up truck;True;4;cargo truck
zaqs710928539;Dago;Bandung;Diana Horton;Vernon Lopez;Riau No.144, RT 5/RW 10;Sunny;pick up truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;6.0;2.4;pick up truck;True;4;cargo truck
qjzw184742800;Dago;Bukittinggi;Diane Thompson;Shelby Thompson;Pasir Kaliki No.423, RT 4/RW 9;Sunny;pick up truck;Clothing;Tepat Waktu;-6.8750079;107.6159521;1.0;2.4;pick up truck;True;4;cargo truck
pfuh950246237;Dago;Bukittinggi;Cheryl King;William Lee;Jalan Braga No.806, RT 6/RW 9;Sunny;van;Clothing;Terlambat;-6.8750079;107.6159521;2.0;2.4;pick up truck;True;4;cargo truck
qija243369468;Dago;Prabumulih;Debra Herrera;Wendy Rivera;Cihampelas No.742, RT 5/RW 5;Sunny;van;Clothing;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;2.4;pick up truck;True;4;cargo truck
yqjn324334520;Dago;Metro;April Horton;Justin Ellis;Riau No.444, RT 8/RW 6;Sunny;pick up truck;Clothing;Lebih Cepat Sampai;-6.8750079;107.6159521;2.0;2.4;pick up truck;True;4;cargo truck
cswn959316984;Dago;Tebing Tinggi;Jonathan Taylor;Elizabeth Powers DDS;Pasir Kaliki No.925, RT 3/RW 10;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;6.0;2.4;pick up truck;True;4;cargo truck
iefq802228869;Dago;Sawahlunto;Timothy Cook;Jason Morrow;Kebon Kawung No.950, RT 3/RW 7;Sunny;cargo truck;Clothing;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;2.4;pick up truck;True;4;cargo truck
fstc299298254;Dago;Tebing Tinggi;Robert Berger;Richard Herring;Ciwidey No.4, RT 5/RW 7;Sunny;cargo truck;Grocery;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;4;cargo truck
ojsw942545421;Dago;Malang;Paul Clark;Michael French;Kebon Kawung No.771, RT 10/RW 6;Sunny;van;Cosmetics;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
cqxz509653902;Dago;Bukittinggi;Carla Mccoy;Curtis Davis;Riau No.458, RT 6/RW 2;Sunny;cargo truck;Grocery;Terlambat;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
xwtr364774220;Dago;Malang;Tracy Murphy;Danielle Beasley;Kebon Kawung No.156, RT 9/RW 3;Sunny;pick up truck;Snacks;Terlambat;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
yuug678226939;Dago;Metro;Javier Mueller;Michael Peterson;Ciwidey No.236, RT 8/RW 7;Sunny;cargo truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
ance309027229;Dago;Pematang Siantar;Raven Green;Mrs. Wendy Garcia;Dago No.232, RT 3/RW 8;Sunny;pick up truck;Books;Tepat Waktu;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
asia167933869;Dago;Salatiga;Daniel Vargas;Neil Dennis;Ciwidey No.853, RT 10/RW 8;Sunny;pick up truck;Books;Terlambat;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
qary892131021;Dago;Ambon;Sarah Wagner;Dustin Pacheco;Dago No.150, RT 5/RW 4;Sunny;pick up truck;Cosmetics;Terlambat;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
ycuu599313271;Dago;Ternate;Christopher Livingston;Gabriel Nguyen;Buah Batu No.100, RT 9/RW 10;Sunny;van;Snacks;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
bbnr516035238;Dago;Bekasi;Leslie Barnes;Miranda Phillips;Setiabudi No.864, RT 1/RW 5;Sunny;cargo truck;Books;Lebih Cepat Sampai;-6.8750079;107.6159521;5.0;2.5;pick up truck;True;5;cargo truck
lohu222510822;Dago;Gresik;Krista Young;Cynthia Fisher;Riau No.321, RT 7/RW 4;Sunny;pick up truck;Sports;Terlambat;-6.8750079;107.6159521;2.0;2.6;pick up truck;True;5;cargo truck
mflh130598760;Dago;Prabumulih;Andrew Oconnor;Kim Hill;Pasir Kaliki No.883, RT 7/RW 4;Sunny;pick up truck;Sports;Lebih Cepat Sampai;-6.8750079;107.6159521;1.0;2.6;pick up truck;True;5;cargo truck
wvqe940927122;Dago;Jambi;Charles Hull;Justin Becker;Jalan Braga No.224, RT 10/RW 3;Sunny;pick up truck;Books;Terlambat;-6.8750079;107.6159521;9.0;2.7;pick up truck;True;5;cargo truck
upyp867045044;Dago;Tanjung Pinang;Nicholas Armstrong;Theresa Shaw;Buah Batu No.88, RT 2/RW 4;Sunny;pick up truck;Grocery;Tepat Waktu;-6.8750079;107.6159521;9.0;2.7;pick up truck;True;5;cargo truck
etwd945360281;Dago;Malang;Jamie Stanton;Ashley Castillo;Pasir Kaliki No.210, RT 2/RW 1;Sunny;pick up truck;Sports;Tepat Waktu;-6.8750079;107.6159521;1.0;2.7;pick up truck;True;5;cargo truck
