Order_ID,Branch_Start,Branch_Drop,Pengirim,Penerima,Alamat Penerima,Weather_Condition,Vehicle_Type,Category,arrival_status,Start_Latitude,Start_Longitude,Drop_Latitude,Drop_Longitude,Quantity,Weight,Vehicle_Type_Assigned
xdao434795901,Dago,Medan,Erica Graves,Erin Blair,"Buah Batu No.342, RT 6/RW 2",Sunny,pick up truck,Toys,Terlambat,-6.8750079,107.6159521,3.5894617,98.6741623,1.0,1.7,pick up truck
hqwk443892657,Kebon Kawung,Pagar Alam,Kevin Estrada,Rachel Wilson,"Setiabudi No.598, RT 3/RW 5",Sunny,pick up truck,Sports,Tepat Waktu,-6.9123708,107.6016929,-4.0209526,103.2501603,9.0,14.4,cargo truck
blgx713939207,Cihampelas,Solok,Nancy Wolfe,Daniel Taylor,"Lembong No.560, RT 3/RW 5",Sunny,pick up truck,Cosmetics,Terlambat,-6.8989124,107.6043304,-0.93103,100.804328,6.0,1.8,pick up truck
dmps249322564,Dago,Jambi,Rebecca Davis,Linda Watkins,"Lembong No.984, RT 1/RW 6",Sunny,pick up truck,Cosmetics,Lebih Cepat Sampai,-6.8750079,107.6159521,-1.6394711,102.9454264,7.0,2.1,pick up truck
vavf041518880,Buah Batu,Kupang,Emma Phillips,Courtney Nichols,"Buah Batu No.983, RT 3/RW 5",Sunny,pick up truck,Snacks,Lebih Cepat Sampai,-6.9412463,107.6271905,-10.1632209,123.6017755,7.0,3.5,pick up truck
oric826953147,Lembong,Bekasi,David Kelley,Lisa Valenzuela,"Setiabudi No.844, RT 1/RW 8",Sunny,pick up truck,Electronics,Terlambat,-6.9165602,107.610072,-6.2349858,106.9945444,2.0,13.6,cargo truck
jrdt044319812,Dago,Mataram,Samantha Ellis,Kimberly Jenkins,"Pasir Kaliki No.432, RT 6/RW 10",Sunny,pick up truck,Home,Lebih Cepat Sampai,-6.8750079,107.6159521,-8.5837726,116.10685,1.0,5.9,van
sfpc015585430,Pasir Kaliki,Kupang,Jose Taylor,Heidi Reilly,"Cihampelas No.236, RT 9/RW 10",Sunny,cargo truck,Toys,Terlambat,-6.9162852,107.5981344,-10.1632209,123.6017755,3.0,9.0,van
xzrl716784548,Dago,Bengkulu,James Whitney,Kristy Montoya,"Dago No.326, RT 3/RW 8",Sunny,pick up truck,Toys,Terlambat,-6.8750079,107.6159521,-3.5186763,102.5359834,7.0,10.5,cargo truck
eibc335635387,Dago,Surabaya,Julia Briggs,Paul Davis,"Setiabudi No.100, RT 7/RW 8",Sunny,cargo truck,Toys,Tepat Waktu,-6.8750079,107.6159521,-7.2462836,112.7377674,5.0,6.0,van
oitk739579230,Cihampelas,Batam,Thomas Howard,Jill Smith,"Lembong No.859, RT 1/RW 1",Sunny,pick up truck,Cosmetics,Lebih Cepat Sampai,-6.8989124,107.6043304,1.1030815,104.0383696,10.0,3.0,pick up truck
botn800344578,Riau,Gresik,Adam Reynolds,George Torres,"Jalan Braga No.741, RT 9/RW 5",Sunny,pick up truck,Grocery,Tepat Waktu,-6.9064586,107.6147399,-5.7933465,112.6598223,9.0,5.4,van
tqxi045146775,Dago,Mataram,Samuel Adams,Barbara Roberts,"Buah Batu No.582, RT 7/RW 1",Sunny,cargo truck,Books,Terlambat,-6.8750079,107.6159521,-8.5837726,116.10685,8.0,6.4,van
kgap585195507,Setiabudi,Binjai,James Duffy,Raymond Bennett,"Jalan Braga No.103, RT 9/RW 7",Sunny,pick up truck,Cosmetics,Terlambat,-6.8689938,107.5934024,3.6063964,98.4899865,9.0,4.5,pick up truck
jgze646200858,Ciwidey,Gresik,Amanda Foster,Debra Salazar,"Kebon Kawung No.207, RT 10/RW 7",Sunny,van,Snacks,Lebih Cepat Sampai,-7.1027234,107.4641673,-5.7933465,112.6598223,9.0,7.2,van
lqyq813452304,Buah Batu,Batam,Donna Little,Sara Hill,"Buah Batu No.531, RT 10/RW 4",Sunny,cargo truck,Cosmetics,Lebih Cepat Sampai,-6.9412463,107.6271905,1.1030815,104.0383696,10.0,4.0,pick up truck
fhco827148157,Pasir Kaliki,Salatiga,John Walters,Amy Hodges,"Lembong No.587, RT 6/RW 5",Sunny,cargo truck,Clothing,Tepat Waktu,-6.9162852,107.5981344,-7.3302642,110.4995353,4.0,9.6,van
ubcd783242087,Riau,Pontianak,Carl Mendez,Katie Strickland,"Ciwidey No.848, RT 2/RW 7",Sunny,van,Sports,Lebih Cepat Sampai,-6.9064586,107.6147399,-0.0226903,109.3447488,6.0,9.6,van
jiyc198145687,Dago,Palu,Jesse Smith,Christopher Garcia,"Setiabudi No.180, RT 9/RW 9",Sunny,pick up truck,Snacks,Terlambat,-6.8750079,107.6159521,-0.9051548,119.8722373,7.0,2.1,pick up truck
fkun064220230,Ciwidey,Payakumbuh,Daniel Johnson,Cassandra Webster,"Cihampelas No.474, RT 6/RW 9",Sunny,pick up truck,Books,Terlambat,-7.1027234,107.4641673,-0.2242687,100.6319419,10.0,9.0,van
vdsc242802639,Lembong,Padang,Nathan Mitchell,Wayne Soto,"Lembong No.833, RT 9/RW 6",Sunny,pick up truck,Toys,Tepat Waktu,-6.9165602,107.610072,-0.9247587,100.3632561,5.0,5.5,van
sdxs740704107,Dago,Makassar,Joseph Cooper,Andrea Harvey,"Lembong No.244, RT 3/RW 7",Sunny,cargo truck,Grocery,Tepat Waktu,-6.8750079,107.6159521,-5.1342962,119.4124282,7.0,6.3,van
hidy261467651,Riau,Ambon,Cameron Buchanan,Benjamin Roberts,"Jalan Braga No.53, RT 10/RW 8",Sunny,pick up truck,Cosmetics,Tepat Waktu,-6.9064586,107.6147399,-3.6959434,128.178785,9.0,9.0,van
mzeb245970250,Kebon Kawung,Surabaya,Joshua Tran,Jeff Shaw,"Cihampelas No.559, RT 3/RW 7",Sunny,cargo truck,Sports,Tepat Waktu,-6.9123708,107.6016929,-7.2462836,112.7377674,9.0,9.0,van
ggxk185781605,Cihampelas,Payakumbuh,Samantha Mayo,Melissa Young,"Buah Batu No.894, RT 1/RW 8",Sunny,pick up truck,Clothing,Terlambat,-6.8989124,107.6043304,-0.2242687,100.6319419,5.0,10.0,van
hgvp189522861,Lembong,Medan,Sharon Mcdonald,Catherine Orr,"Setiabudi No.137, RT 8/RW 8",Sunny,pick up truck,Shoes,Terlambat,-6.9165602,107.610072,3.5894617,98.6741623,5.0,10.0,van
mivz461407242,Setiabudi,Solok,Janet Hansen,Amanda Smith,"Dago No.688, RT 7/RW 3",Sunny,pick up truck,Books,Lebih Cepat Sampai,-6.8689938,107.5934024,-0.93103,100.804328,8.0,5.6,van
griq568538346,Cihampelas,Payakumbuh,Danielle Anderson,Dr. Veronica Rodriguez PhD,"Cihampelas No.94, RT 6/RW 1",Sunny,pick up truck,Home,Tepat Waktu,-6.8989124,107.6043304,-0.2242687,100.6319419,2.0,10.6,cargo truck
kbln393702128,Riau,Salatiga,Debra Bowen,Jennifer Richard,"Riau No.180, RT 6/RW 1",Sunny,pick up truck,Home,Tepat Waktu,-6.9064586,107.6147399,-7.3302642,110.4995353,1.0,8.0,van
axtz155758687,Buah Batu,Semarang,Brandon Barnes,Teresa Morris,"Dago No.503, RT 4/RW 10",Sunny,pick up truck,Electronics,Lebih Cepat Sampai,-6.9412463,107.6271905,-6.9903988,110.4229104,1.0,8.5,van
yucd410527852,Buah Batu,Depok,Emily Parker,James Mitchell,"Lembong No.914, RT 10/RW 8",Sunny,pick up truck,Toys,Tepat Waktu,-6.9412463,107.6271905,-6.40719,106.8158371,5.0,9.0,van
mqhw773310802,Kebon Kawung,Palu,Julie Costa,George Marshall,"Riau No.830, RT 2/RW 9",Sunny,pick up truck,Toys,Lebih Cepat Sampai,-6.9123708,107.6016929,-0.9051548,119.8722373,5.0,11.0,cargo truck
jbvi392181477,Pasir Kaliki,Tebing Tinggi,Nicolas Washington,Melissa Bond,"Pasir Kaliki No.405, RT 9/RW 7",Sunny,pick up truck,Electronics,Terlambat,-6.9162852,107.5981344,3.3273686,99.1623025,1.0,7.3,van
bvka348874203,Cihampelas,Samarinda,Erica Murray,Victoria Davenport,"Ciwidey No.860, RT 10/RW 10",Sunny,pick up truck,Clothing,Lebih Cepat Sampai,-6.8989124,107.6043304,-0.5017804,117.1393089,2.0,5.4,van
intd941914908,Dago,Sidoarjo,Megan Armstrong,Kelly Higgins,"Riau No.992, RT 1/RW 3",Sunny,pick up truck,Clothing,Lebih Cepat Sampai,-6.8750079,107.6159521,-7.4559741,112.6608877,4.0,8.4,van
cpvr765393098,Buah Batu,Jakarta,Luis Brady,Mason Kim,"Riau No.848, RT 5/RW 2",Sunny,cargo truck,Sports,Tepat Waktu,-6.9412463,107.6271905,-6.1754049,106.827168,3.0,5.4,van
jrzz070590798,Ciwidey,South Tangerang,Kimberly Larson,Michael West,"Buah Batu No.546, RT 8/RW 7",Sunny,cargo truck,Electronics,Lebih Cepat Sampai,-7.1027234,107.4641673,-6.3227016,106.7085737,1.0,7.1,van
essy604523183,Lembong,Cilegon,Pamela Ferguson,Sherry Thompson,"Dago No.671, RT 4/RW 4",Sunny,pick up truck,Toys,Terlambat,-6.9165602,107.610072,-6.017389,106.0537688,6.0,8.4,van
fokf045562405,Cihampelas,Jambi,Robert Smith,Elizabeth Mayer,"Lembong No.247, RT 7/RW 5",Sunny,cargo truck,Grocery,Lebih Cepat Sampai,-6.8989124,107.6043304,-1.6394711,102.9454264,5.0,1.5,pick up truck
nrmz910220511,Riau,Banjarbaru,Natasha Dillon,Catherine Williams,"Buah Batu No.677, RT 4/RW 1",Sunny,pick up truck,Snacks,Lebih Cepat Sampai,-6.9064586,107.6147399,-3.4430389,114.8308816,5.0,2.0,pick up truck
oosb954281783,Setiabudi,Cilegon,Scott Curtis,Christopher Smith,"Riau No.643, RT 5/RW 4",Sunny,pick up truck,Grocery,Lebih Cepat Sampai,-6.8689938,107.5934024,-6.017389,106.0537688,6.0,5.4,van
pqlj119874486,Riau,Tebing Tinggi,Robert Elliott,Alyssa Brown,"Ciwidey No.510, RT 1/RW 5",Sunny,pick up truck,Books,Tepat Waktu,-6.9064586,107.6147399,3.3273686,99.1623025,7.0,1.4,pick up truck
hzir281026902,Cihampelas,Solok,Alec Collins,Guy Key,"Dago No.632, RT 8/RW 3",Sunny,cargo truck,Books,Tepat Waktu,-6.8989124,107.6043304,-0.93103,100.804328,8.0,4.0,pick up truck
lezb158488142,Buah Batu,Sawahlunto,Tyler Navarro,Lindsey Robertson,"Cihampelas No.949, RT 6/RW 5",Sunny,cargo truck,Grocery,Terlambat,-6.9412463,107.6271905,-0.6818141,100.778552,8.0,6.4,van
ozjz810226690,Jalan Braga,Tanjung Pinang,Tiffany Wilson,Angela Mccarthy,"Riau No.658, RT 6/RW 1",Sunny,pick up truck,Clothing,Tepat Waktu,-6.9168925,107.6091723,0.9236915,104.446094,3.0,5.1,van
hpap861728738,Jalan Braga,Ternate,Debbie Collins,Thomas Hampton,"Jalan Braga No.438, RT 10/RW 7",Sunny,pick up truck,Toys,Terlambat,-6.9168925,107.6091723,0.7852043,127.3832342,3.0,5.7,van
qadk676361128,Dago,Bandar Lampung,Robert Thomas,William Kim,"Ciwidey No.818, RT 1/RW 1",Sunny,cargo truck,Grocery,Terlambat,-6.8750079,107.6159521,-5.4460713,105.2643742,5.0,5.0,pick up truck
scbx441036149,Buah Batu,South Tangerang,Eric Adams,Courtney Walker,"Jalan Braga No.542, RT 9/RW 8",Sunny,pick up truck,Toys,Terlambat,-6.9412463,107.6271905,-6.3227016,106.7085737,5.0,8.0,van
mkva994791983,Ciwidey,Serang,Erin Robinson,Nicole Page,"Buah Batu No.986, RT 10/RW 1",Sunny,pick up truck,Snacks,Tepat Waktu,-7.1027234,107.4641673,-6.1169662,106.1518079,7.0,3.5,pick up truck
dcyv640821977,Ciwidey,Salatiga,Brian Lawson,Christopher Baker,"Ciwidey No.341, RT 3/RW 2",Sunny,cargo truck,Toys,Terlambat,-7.1027234,107.4641673,-7.3302642,110.4995353,6.0,6.6,van
mleb942163074,Kebon Kawung,Banda Aceh,Juan Jennings,Shelby Hensley,"Dago No.28, RT 1/RW 5",Sunny,pick up truck,Electronics,Lebih Cepat Sampai,-6.9123708,107.6016929,5.5528455,95.3192908,2.0,11.6,cargo truck
tfpw264934804,Buah Batu,Semarang,Jessica Lee,Sharon Herrera,"Buah Batu No.578, RT 7/RW 2",Sunny,pick up truck,Electronics,Terlambat,-6.9412463,107.6271905,-6.9903988,110.4229104,1.0,7.6,van
hdce688458513,Kebon Kawung,Sorong,Travis Mitchell,Deborah Gray,"Riau No.571, RT 3/RW 1",Sunny,pick up truck,Snacks,Tepat Waktu,-6.9123708,107.6016929,-0.8634105,131.2544805,5.0,4.5,pick up truck
bnva693926602,Buah Batu,Sawahlunto,Daniel Khan,Valerie Lopez,"Cihampelas No.670, RT 7/RW 8",Sunny,pick up truck,Books,Terlambat,-6.9412463,107.6271905,-0.6818141,100.778552,8.0,7.2,van
uxnt196160734,Ciwidey,South Tangerang,Albert Wells,Peter Johnson,"Lembong No.644, RT 4/RW 8",Sunny,cargo truck,Toys,Terlambat,-7.1027234,107.4641673,-6.3227016,106.7085737,3.0,4.8,pick up truck
cmiy697846170,Dago,Ambon,Clifford Marshall,Robin Joyce,"Riau No.472, RT 1/RW 2",Sunny,cargo truck,Sports,Tepat Waktu,-6.8750079,107.6159521,-3.6959434,128.178785,6.0,11.4,cargo truck
drgh498946193,Pasir Kaliki,Pontianak,Vicki Hopkins,Christopher Hill,"Pasir Kaliki No.895, RT 10/RW 1",Sunny,pick up truck,Shoes,Terlambat,-6.9162852,107.5981344,-0.0226903,109.3447488,5.0,9.5,van
cynm740325829,Setiabudi,Malang,John Becker,Melissa Griffith,"Kebon Kawung No.15, RT 5/RW 3",Sunny,pick up truck,Toys,Terlambat,-6.8689938,107.5934024,-7.9771308,112.6340265,3.0,5.7,van
tuta922105802,Ciwidey,Surabaya,Anna Rivera,Tonya Carr,"Setiabudi No.163, RT 5/RW 7",Sunny,cargo truck,Shoes,Terlambat,-7.1027234,107.4641673,-7.2462836,112.7377674,3.0,4.5,pick up truck
koix478559898,Riau,Metro,Sandra Osborne,Timothy Meyer,"Kebon Kawung No.276, RT 1/RW 1",Sunny,cargo truck,Toys,Terlambat,-6.9064586,107.6147399,-5.1078839,105.3078642,7.0,7.0,van
eftv183377462,Cihampelas,Salatiga,Javier Ballard,James Wood,"Kebon Kawung No.272, RT 8/RW 7",Sunny,cargo truck,Shoes,Lebih Cepat Sampai,-6.8989124,107.6043304,-7.3302642,110.4995353,5.0,9.0,van
clhu804165445,Buah Batu,Kendal,Lauren Gonzalez,Susan Turner,"Riau No.134, RT 6/RW 7",Sunny,cargo truck,Books,Tepat Waktu,-6.9412463,107.6271905,-7.0190966,110.1374757,5.0,4.0,pick up truck
wqbn742164110,Ciwidey,Solok,Christopher Diaz,Victor Hartman,"Jalan Braga No.153, RT 5/RW 7",Sunny,pick up truck,Toys,Terlambat,-7.1027234,107.4641673,-0.93103,100.804328,5.0,7.0,van
ybno365477309,Cihampelas,Mojokerto,Gregory Nunez,Courtney Gray,"Pasir Kaliki No.502, RT 9/RW 10",Sunny,cargo truck,Shoes,Terlambat,-6.8989124,107.6043304,-7.5413378,112.5094975,9.0,11.7,cargo truck
nzzf451013056,Buah Batu,Solo,Nicole Thompson,Ray Hernandez,"Kebon Kawung No.848, RT 2/RW 7",Sunny,pick up truck,Snacks,Terlambat,-6.9412463,107.6271905,-7.5692489,110.828448,10.0,3.0,pick up truck
kmtr436001502,Cihampelas,Ternate,Priscilla Holmes,Aaron Krause,"Buah Batu No.326, RT 6/RW 9",Sunny,pick up truck,Clothing,Terlambat,-6.8989124,107.6043304,0.7852043,127.3832342,3.0,8.7,van
wphi807993068,Lembong,Makassar,Connie Wiley,Scott Serrano,"Cihampelas No.674, RT 3/RW 2",Sunny,pick up truck,Books,Lebih Cepat Sampai,-6.9165602,107.610072,-5.1342962,119.4124282,6.0,4.2,pick up truck
ufae289501860,Riau,Sorong,John Jenkins,Shelly Kennedy,"Setiabudi No.755, RT 2/RW 3",Sunny,pick up truck,Shoes,Lebih Cepat Sampai,-6.9064586,107.6147399,-0.8634105,131.2544805,8.0,10.4,cargo truck
ymng798718313,Ciwidey,Salatiga,Joseph Campbell,Marvin West,"Pasir Kaliki No.941, RT 6/RW 2",Sunny,cargo truck,Home,Tepat Waktu,-7.1027234,107.4641673,-7.3302642,110.4995353,1.0,8.2,van
yrih838332088,Jalan Braga,Padang,Heather Hopkins,Heather Jordan,"Ciwidey No.318, RT 7/RW 8",Sunny,pick up truck,Cosmetics,Tepat Waktu,-6.9168925,107.6091723,-0.9247587,100.3632561,8.0,6.4,van
enwc770077643,Ciwidey,Banjarbaru,Carrie Garcia,Catherine Richardson,"Dago No.555, RT 3/RW 9",Sunny,pick up truck,Sports,Terlambat,-7.1027234,107.4641673,-3.4430389,114.8308816,1.0,2.0,pick up truck
gonx442529661,Kebon Kawung,Kupang,Brent Greer,Hannah Mcdowell,"Dago No.707, RT 8/RW 1",Sunny,pick up truck,Electronics,Lebih Cepat Sampai,-6.9123708,107.6016929,-10.1632209,123.6017755,1.0,5.2,van
gedp538037050,Kebon Kawung,Bandung,Mrs. Ariel Perkins,Crystal Taylor,"Lembong No.394, RT 9/RW 9",Sunny,pick up truck,Grocery,Terlambat,-6.9123708,107.6016929,-6.9218457,107.6070833,9.0,7.2,van
akoz380684866,Setiabudi,Bali (Denpasar),Carla Bailey,Breanna Hicks,"Lembong No.481, RT 1/RW 2",Sunny,cargo truck,Clothing,Tepat Waktu,-6.8689938,107.5934024,-8.6723373,115.2262339,5.0,8.5,van
uzkz304464726,Kebon Kawung,Jambi,Dana Fisher,Colleen Merritt,"Setiabudi No.953, RT 2/RW 6",Sunny,cargo truck,Home,Tepat Waktu,-6.9123708,107.6016929,-1.6394711,102.9454264,2.0,11.0,cargo truck
ufyn357564233,Kebon Kawung,Cilegon,Anna Williams,Robert Smith,"Kebon Kawung No.68, RT 1/RW 10",Sunny,pick up truck,Clothing,Terlambat,-6.9123708,107.6016929,-6.017389,106.0537688,2.0,5.4,van
pxvb549205039,Kebon Kawung,Cimahi,Casey Jones DVM,Donna Jenkins,"Riau No.924, RT 10/RW 1",Sunny,pick up truck,Electronics,Terlambat,-6.9123708,107.6016929,-6.8731527,107.5423099,1.0,7.8,van
oecn886699205,Jalan Braga,Depok,Cathy Clark,Tami Morgan,"Pasir Kaliki No.673, RT 8/RW 4",Sunny,cargo truck,Books,Tepat Waktu,-6.9168925,107.6091723,-6.40719,106.8158371,7.0,6.3,van
kxsb919855631,Dago,Banda Aceh,Tim Rowe,Kimberly Santiago,"Buah Batu No.527, RT 3/RW 1",Sunny,cargo truck,Shoes,Lebih Cepat Sampai,-6.8750079,107.6159521,5.5528455,95.3192908,4.0,6.0,van
qhkg170565051,Pasir Kaliki,Pematang Siantar,Sarah Mann,Mason Walker,"Kebon Kawung No.467, RT 9/RW 10",Sunny,pick up truck,Electronics,Tepat Waktu,-6.9162852,107.5981344,2.9588631,99.0653646,1.0,9.9,van
hgxd621773551,Setiabudi,Gresik,Robert Schmidt,Robert Wilson,"Setiabudi No.16, RT 7/RW 8",Sunny,pick up truck,Home,Tepat Waktu,-6.8689938,107.5934024,-5.7933465,112.6598223,1.0,6.4,van
rqtl469649268,Ciwidey,Manado,Courtney Miller,Joshua Boyd,"Dago No.787, RT 6/RW 1",Sunny,pick up truck,Electronics,Tepat Waktu,-7.1027234,107.4641673,1.4900578,124.8408708,1.0,5.6,van
